"","team","salary","player","position","season"
"5408","Washington Wizards",1.2e+07,"Marcin Gortat","C","2016-2017"
"5409","Orlando Magic",11750000,"Nikola Vucevic","C","2016-2017"
"5410","Brooklyn Nets",11483254,"Jeremy Lin","PG","2016-2017"
"5411","Cleveland Cavaliers",9662922,"Iman Shumpert","SG","2016-2017"
"5412","Milwaukee Bucks",9607500,"Matthew Dellavedova","PG","2016-2017"
"5413","Philadelphia 76ers",9424084,"Jerryd Bayless","PG","2016-2017"
"5414","Brooklyn Nets",9250000,"Trevor Booker","F","2016-2017"
"5415","Portland Trail Blazers",9213483,"Meyers Leonard","PF","2016-2017"
"5416","Philadelphia 76ers",9e+06,"Gerald Henderson","SG","2016-2017"
"5417","Portland Trail Blazers",8988765,"Maurice Harkless","SF","2016-2017"
"5418","Oklahoma City Thunder",8950000,"Taj Gibson","PF","2016-2017"
"5419","Indiana Pacers",8800000,"Jeff Teague","PG","2016-2017"
"5420","Philadelphia 76ers",8550000,"Tiago Splitter","C","2016-2017"
"5421","Oklahoma City Thunder",8400000,"Ersan Ilyasova","PF","2016-2017"
"5422","Dallas Mavericks",8375000,"Dwight Powell","PF","2016-2017"
"5423","Boston Celtics",8269663,"Avery Bradley","SG","2016-2017"
"5424","New Orleans Pelicans",8081363,"E'Twaun Moore","G","2016-2017"
"5425","Denver Nuggets",8070175,"Darrell Arthur","F","2016-2017"
"5426","Sacramento Kings",8046500,"Kosta Koufos","C","2016-2017"
"5427","Sacramento Kings",8e+06,"Garrett Temple","SG","2016-2017"
"5428","Boston Celtics",8e+06,"Tyler Zeller","C","2016-2017"
"5429","Philadelphia 76ers",8e+06,"Sergio Rodriguez","PG","2016-2017"
"5430","Sacramento Kings",8e+06,"Anthony Tolliver","PF","2016-2017"
"5431","Utah Jazz",8e+06,"George Hill","PG","2016-2017"
"5432","New Orleans Pelicans",11286518,"Jrue Holiday","PG","2016-2017"
"5433","New York Knicks",11242000,"Courtney Lee","SG","2016-2017"
"5434","New Orleans Pelicans",11241218,"Solomon Hill","SF","2016-2017"
"5435","Denver Nuggets",11233146,"Wilson Chandler","SF","2016-2017"
"5436","Golden State Warriors",11131368,"Andre Iguodala","SG","2016-2017"
"5437","Utah Jazz",11050000,"Derrick Favors","PF","2016-2017"
"5438","LA Clippers",1.1e+07,"Austin Rivers","PG","2016-2017"
"5439","Utah Jazz",1.1e+07,"Joe Johnson","G","2016-2017"
"5440","Detroit Pistons",10991957,"Jon Leuer","PF","2016-2017"
"5441","Indiana Pacers",10763500,"Monta Ellis","SG","2016-2017"
"5442","Milwaukee Bucks",10500000,"Mirza Teletovic","PF","2016-2017"
"5443","Phoenix Suns",10470000,"Jared Dudley","SF","2016-2017"
"5444","Memphis Grizzlies",10361445,"Zach Randolph","PF","2016-2017"
"5445","Indiana Pacers",10314532,"Al Jefferson","C","2016-2017"
"5446","Sacramento Kings",10203755,"Tyreke Evans","SG","2016-2017"
"5447","Utah Jazz",10154495,"Alec Burks","SG","2016-2017"
"5448","San Antonio Spurs",1e+07,"Danny Green","SG","2016-2017"
"5449","Toronto Raptors",1e+07,"Terrence Ross","SG","2016-2017"
"5450","New Orleans Pelicans",9904494,"Omer Asik","C","2016-2017"
"5451","Houston Rockets",7806971,"Trevor Ariza","SF","2016-2017"
"5452","Cleveland Cavaliers",7806971,"Channing Frye","F","2016-2017"
"5453","Portland Trail Blazers",7680965,"Al-Farouq Aminu","PF","2016-2017"
"5454","Minnesota Timberwolves",7643979,"Cole Aldrich","C","2016-2017"
"5455","Los Angeles Lakers",7612172,"Corey Brewer","F","2016-2017"
"5456","Washington Wizards",7400000,"Markieff Morris","PF","2016-2017"
"5457","Portland Trail Blazers",7400000,"Festus Ezeli","C","2016-2017"
"5458","LA Clippers",7377500,"JJ Redick","SG","2016-2017"
"5459","Toronto Raptors",7315000,"Cory Joseph","PG","2016-2017"
"5460","Orlando Magic",7250000,"D.J. Augustin","PG","2016-2017"
"5461","Los Angeles Lakers",7e+06,"Lou Williams","SG","2016-2017"
"5462","Utah Jazz",7e+06,"Boris Diaw","C","2016-2017"
"5463","Indiana Pacers",7e+06,"Rodney Stuckey","PG","2016-2017"
"5464","Portland Trail Blazers",6666667,"Ed Davis","PF","2016-2017"
"5465","Boston Celtics",6587132,"Isaiah Thomas","PG","2016-2017"
"5466","Oklahoma City Thunder",6552961,"Victor Oladipo","SG","2016-2017"
"5467","Orlando Magic",6540000,"Jodie Meeks","SG","2016-2017"
"5468","Charlotte Hornets",6511628,"Jeremy Lamb","SG","2016-2017"
"5469","Philadelphia 76ers",6500000,"Carl Landry","PF","2016-2017"
"5470","Detroit Pistons",6500000,"Aron Baynes","C","2016-2017"
"5471","San Antonio Spurs",6393750,"Tim Duncan","C","2016-2017"
"5472","Charlotte Hornets",6348759,"Spencer Hawes","PF","2016-2017"
"5473","Charlotte Hornets",6333333,"Marco Belinelli","G","2016-2017"
"5474","Boston Celtics",6286408,"Jae Crowder","PF","2016-2017"
"5475","New York Knicks",6191000,"Lance Thomas","SF","2016-2017"
"5476","Los Angeles Lakers",6191000,"Tarik Black","C","2016-2017"
"5477","Washington Wizards",6088993,"Andrew Nicholson","PF","2016-2017"
"5478","Toronto Raptors",6050000,"Patrick Patterson","PF","2016-2017"
"5479","Minnesota Timberwolves",6006600,"Andrew Wiggins","SF","2016-2017"
"5480","Charlotte Hornets",6e+06,"Ramon Sessions","G","2016-2017"
"5481","Houston Rockets",6e+06,"Patrick Beverley","PG","2016-2017"
"5482","Miami Heat",6e+06,"Wayne Ellington","SG","2016-2017"
"5483","Detroit Pistons",6e+06,"Ish Smith","PG","2016-2017"
"5484","Oklahoma City Thunder",5994764,"Alex Abrines","SG","2016-2017"
"5485","Minnesota Timberwolves",5960160,"Karl-Anthony Towns","C","2016-2017"
"5486","Philadelphia 76ers",5903160,"Ben Simmons","PG","2016-2017"
"5487","Washington Wizards",5893981,"Otto Porter Jr.","SF","2016-2017"
"5488","Golden State Warriors",5782450,"Shaun Livingston","PG","2016-2017"
"5489","Chicago Bulls",5782450,"Nikola Mirotic","PF","2016-2017"
"5490","Memphis Grizzlies",5709880,"Brandan Wright","F","2016-2017"
"5491","Miami Heat",5628000,"Tyler Johnson","SG","2016-2017"
"5492","Toronto Raptors",5628000,"Jared Sullinger","C","2016-2017"
"5493","LA Clippers",5628000,"Wesley Johnson","SF","2016-2017"
"5494","Memphis Grizzlies",5505618,"Tony Allen","SG","2016-2017"
"5495","Brooklyn Nets",5500000,"Luis Scola","F","2016-2017"
"5496","Los Angeles Lakers",5443918,"Nick Young","G","2016-2017"
"5497","Milwaukee Bucks",5374320,"Jabari Parker","PF","2016-2017"
"5498","Los Angeles Lakers",5332800,"D'Angelo Russell","PG","2016-2017"
"5499","Charlotte Hornets",5318313,"Cody Zeller","C","2016-2017"
"5500","Toronto Raptors",5300000,"PJ Tucker","SF","2016-2017"
"5501","Los Angeles Lakers",5281680,"Brandon Ingram","SF","2016-2017"
"5502","Cleveland Cavaliers",5239437,"Kyle Korver","SG","2016-2017"
"5503","Sacramento Kings",5229454,"Darren Collison","PG","2016-2017"
"5504","Sacramento Kings",5200000,"Langston Galloway","SG","2016-2017"
"5505","Washington Wizards",5e+06,"Jason Smith","PF","2016-2017"
"5506","Washington Wizards",5e+06,"Brandon Jennings","G","2016-2017"
"5507","Orlando Magic",5e+06,"C.J. Watson","PG","2016-2017"
"5508","Charlotte Hornets",5e+06,"Roy Hibbert","C","2016-2017"
"5509","Oklahoma City Thunder",4837500,"Kyle Singler","F","2016-2017"
"5510","Cleveland Cavaliers",4837500,"Mike Dunleavy","SG","2016-2017"
"5511","Philadelphia 76ers",4826160,"Joel Embiid","C","2016-2017"
"5512","Phoenix Suns",4823621,"Alex Len","C","2016-2017"
"5513","Philadelphia 76ers",4788840,"Jahlil Okafor","C","2016-2017"
"5514","Boston Celtics",4743000,"Jaylen Brown","SG","2016-2017"
"5515","New Orleans Pelicans",4638203,"Alexis Ajinca","C","2016-2017"
"5516","Detroit Pistons",4625000,"Marcus Morris","PF","2016-2017"
"5517","Indiana Pacers",4583450,"CJ Miles","SF","2016-2017"
"5518","Denver Nuggets",4540525,"Jameer Nelson","G","2016-2017"
"5519","Philadelphia 76ers",4384490,"Nerlens Noel","PF","2016-2017"
"5520","Orlando Magic",4351320,"Aaron Gordon","PF","2016-2017"
"5521","Brooklyn Nets",4347826,"Greivis Vasquez","PG","2016-2017"
"5522","New York Knicks",4317720,"Kristaps Porzingis","PF","2016-2017"
"5523","Phoenix Suns",4276320,"Dragan Bender","PF","2016-2017"
"5524","Memphis Grizzlies",4264057,"Vince Carter","SF","2016-2017"
"5525","Dallas Mavericks",4227996,"Devin Harris","PG","2016-2017"
"5526","Dallas Mavericks",4096950,"J.J. Barea","PG","2016-2017"
"5527","Sacramento Kings",4008882,"Ben McLemore","SG","2016-2017"
"5528","Indiana Pacers",4e+06,"Lavoy Allen","F","2016-2017"
"5529","Miami Heat",4e+06,"Udonis Haslem","PF","2016-2017"
"5530","Atlanta Hawks",4e+06,"Kris Humphries","PF","2016-2017"
"5531","Phoenix Suns",4e+06,"Leandro Barbosa","G","2016-2017"
"5532","Minnesota Timberwolves",4e+06,"Lance Stephenson","SG","2016-2017"
"5533","Utah Jazz",3940320,"Dante Exum","PG","2016-2017"
"5534","New York Knicks",3918750,"Kyle O'Quinn","C","2016-2017"
"5535","Orlando Magic",3909840,"Mario Hezonja","SF","2016-2017"
"5536","Minnesota Timberwolves",3872520,"Kris Dunn","PG","2016-2017"
"5537","Atlanta Hawks",3850000,"Thabo Sefolosha","SF","2016-2017"
"5538","Minnesota Timberwolves",3800000,"Nemanja Bjelica","PF","2016-2017"
"5539","Oklahoma City Thunder",3750000,"Nick Collison","F","2016-2017"
"5540","Washington Wizards",3730653,"Bojan Bogdanovic","SF","2016-2017"
"5541","Detroit Pistons",3678319,"Kentavious Caldwell-Pope","SG","2016-2017"
"5542","San Antonio Spurs",3617978,"Quincy Pondexter","SF","2016-2017"
"5543","San Antonio Spurs",3578948,"Patty Mills","PG","2016-2017"
"5544","Boston Celtics",3578880,"Marcus Smart","PG","2016-2017"
"5545","Sacramento Kings",3551160,"Willie Cauley-Stein","C","2016-2017"
"5546","Washington Wizards",3547000,"Drew Gooden","PF","2016-2017"
"5547","Denver Nuggets",3533333,"Will Barton","SG","2016-2017"
"5548","LA Clippers",3527920,"Paul Pierce","SF","2016-2017"
"5549","Sacramento Kings",3517200,"Buddy Hield","SG","2016-2017"
"5550","Minnesota Timberwolves",3500000,"Brandon Rush","SG","2016-2017"
"5551","Denver Nuggets",3500000,"Mike Miller","SG","2016-2017"
"5552","Oklahoma City Thunder",3488000,"Anthony Morrow","SG","2016-2017"
"5553","Washington Wizards",3386598,"Trey Burke","PG","2016-2017"
"5554","Atlanta Hawks",3333334,"Mike Scott","PF","2016-2017"
"5555","Brooklyn Nets",3333333,"KJ McDaniels","F","2016-2017"
"5556","Memphis Grizzlies",3332940,"Troy Daniels","SG","2016-2017"
"5557","Los Angeles Lakers",3267120,"Julius Randle","PF","2016-2017"
"5558","Denver Nuggets",3241800,"Emmanuel Mudiay","PG","2016-2017"
"5559","Portland Trail Blazers",3219579,"CJ McCollum","SG","2016-2017"
"5560","Denver Nuggets",3210840,"Jamal Murray","PG","2016-2017"
"5561","Chicago Bulls",3183526,"Michael Carter-Williams","PG","2016-2017"
"5562","Oklahoma City Thunder",3140517,"Steven Adams","C","2016-2017"
"5563","Boston Celtics",3094014,"Kelly Olynyk","PF","2016-2017"
"5564","Minnesota Timberwolves",3046299,"Shabazz Muhammad","F","2016-2017"
"5565","Brooklyn Nets",3e+06,"Justin Hamilton","C","2016-2017"
"5566","Philadelphia 76ers",3e+06,"Tibor Pleiss","C","2016-2017"
"5567","Milwaukee Bucks",2995421,"Giannis Antetokounmpo","PF","2016-2017"
"5568","Philadelphia 76ers",2993040,"Nik Stauskas","SG","2016-2017"
"5569","New Orleans Pelicans",2978250,"Dante Cunningham","SF","2016-2017"
"5570","Detroit Pistons",2969880,"Stanley Johnson","SF","2016-2017"
"5571","Phoenix Suns",2941440,"Marquese Chriss","PF","2016-2017"
"5572","Miami Heat",2898000,"Dion Waiters","SG","2016-2017"
"5573","New York Knicks",2898000,"Mindaugas Kuzminskas","F","2016-2017"
"5574","Dallas Mavericks",2898000,"Seth Curry","SG","2016-2017"
"5575","San Antonio Spurs",2898000,"Dewayne Dedmon","C","2016-2017"
"5576","Washington Wizards",2870813,"Tomas Satoransky","SG","2016-2017"
"5577","Portland Trail Blazers",2751360,"Noah Vonleh","PF","2016-2017"
"5578","Charlotte Hornets",2730000,"Frank Kaminsky","PF","2016-2017"
"5579","Atlanta Hawks",2708582,"Dennis Schroder","PG","2016-2017"
"5580","Toronto Raptors",2703960,"Jakob Poeltl","C","2016-2017"
"5581","Indiana Pacers",2700000,"Aaron Brooks","G","2016-2017"
"5582","Orlando Magic",2613600,"Elfrid Payton","PG","2016-2017"
"5583","Miami Heat",2593440,"Justise Winslow","SF","2016-2017"
"5584","Milwaukee Bucks",2568600,"Thon Maker","PF","2016-2017"
"5585","Brooklyn Nets",2500000,"Randy Foye","SG","2016-2017"
"5586","Atlanta Hawks",2500000,"Malcolm Delaney","G","2016-2017"
"5587","Oklahoma City Thunder",2483040,"Doug McDermott","SF","2016-2017"
"5588","Indiana Pacers",2463840,"Myles Turner","C","2016-2017"
"5589","Oklahoma City Thunder",2440200,"Domantas Sabonis","PF","2016-2017"
"5590","Utah Jazz",2433334,"Shelvin Mack","PG","2016-2017"
"5591","Milwaukee Bucks",2368327,"Tony Snell","SG","2016-2017"
"5592","Minnesota Timberwolves",2348783,"Gorgui Dieng","C","2016-2017"
"5593","Utah Jazz",2340600,"Trey Lyles","PF","2016-2017"
"5594","Portland Trail Blazers",2328530,"Mason Plumlee","PF","2016-2017"
"5595","Philadelphia 76ers",2318280,"Dario Saric","PF","2016-2017"
"5596","Atlanta Hawks",2318280,"Taurean Prince","SF","2016-2017"
"5597","Atlanta Hawks",2281605,"Tim Hardaway Jr.","G","2016-2017"
"5598","Detroit Pistons",2255644,"Reggie Bullock","SG","2016-2017"
"5599","Minnesota Timberwolves",2240880,"Zach LaVine","PG","2016-2017"
"5600","Phoenix Suns",2223600,"Devin Booker","SG","2016-2017"
"5601","LA Clippers",2203000,"Luc Mbah a Moute","PF","2016-2017"
"5602","Sacramento Kings",2202240,"Georgios Papagiannis","C","2016-2017"
"5603","Denver Nuggets",2194500,"Mo Williams","PG","2016-2017"
"5604","Oklahoma City Thunder",2183072,"Andre Roberson","SG","2016-2017"
"5605","Utah Jazz",2150000,"Joe Ingles","SF","2016-2017"
"5606","Phoenix Suns",2128920,"TJ Warren","SF","2016-2017"
"5607","Utah Jazz",2121288,"Rudy Gobert","C","2016-2017"
"5608","Oklahoma City Thunder",2112480,"Cameron Payne","PG","2016-2017"
"5609","Chicago Bulls",2092200,"Denzel Valentine","SG","2016-2017"
"5610","New Orleans Pelicans",2090000,"Tim Frazier","PG","2016-2017"
"5611","Milwaukee Bucks",2048257,"Kendall Marshall","PG","2016-2017"
"5612","Minnesota Timberwolves",2022240,"Adreian Payne","PF","2016-2017"
"5613","Washington Wizards",2006640,"Kelly Oubre Jr.","SF","2016-2017"
"5614","Denver Nuggets",1987440,"Juan Hernangomez","PF","2016-2017"
"5615","Toronto Raptors",1921320,"Lucas Nogueira","C","2016-2017"
"5616","Portland Trail Blazers",1921320,"Jusuf Nurkic","C","2016-2017"
"5617","Boston Celtics",1906440,"Terry Rozier","PG","2016-2017"
"5618","Boston Celtics",1825200,"James Young","G","2016-2017"
"5619","Milwaukee Bucks",1811040,"Rashad Vaughn","G","2016-2017"
"5620","Indiana Pacers",1800000,"Kevin Seraphin","C","2016-2017"
"5621","Memphis Grizzlies",1793760,"Wade Baldwin IV","PG","2016-2017"
"5622","Brooklyn Nets",1790092,"Quincy Acy","F","2016-2017"
"5623","Los Angeles Lakers",1733880,"Tyler Ennis","G","2016-2017"
"5624","Houston Rockets",1720560,"Sam Dekker","SF","2016-2017"
"5625","Oklahoma City Thunder",1709719,"Joffrey Lauvergne","F","2016-2017"
"5626","Detroit Pistons",1704120,"Henry Ellenson","PF","2016-2017"
"5627","Denver Nuggets",1655880,"Gary Harris","SG","2016-2017"
"5628","Chicago Bulls",1643040,"Jerian Grant","PG","2016-2017"
"5629","Denver Nuggets",1627320,"Malik Beasley","SG","2016-2017"
"5630","Toronto Raptors",1589640,"Bruno Caboclo","F","2016-2017"
"5631","Toronto Raptors",1577280,"Delon Wright","PG","2016-2017"
"5632","Brooklyn Nets",1562280,"Caris LeVert","SG","2016-2017"
"5633","San Antonio Spurs",1551659,"David Lee","PF","2016-2017"
"5634","Sacramento Kings",1551659,"Caron Butler","SF","2016-2017"
"5635","Oklahoma City Thunder",1526040,"Mitch McGary","PF","2016-2017"
"5636","Philadelphia 76ers",1514160,"Justin Anderson","SG","2016-2017"
"5637","Los Angeles Lakers",1500000,"Marcelo Huertas","PG","2016-2017"
"5638","Atlanta Hawks",1499760,"DeAndre' Bembry","SF","2016-2017"
"5639","Memphis Grizzlies",1465080,"Jordan Adams","SG","2016-2017"
"5640","Chicago Bulls",1453680,"Bobby Portis","PF","2016-2017"
"5641","Boston Celtics",1450000,"Demetrius Jackson","PG","2016-2017"
"5642","Sacramento Kings",1439800,"Malachi Richardson","SG","2016-2017"
"5643","Utah Jazz",1406520,"Rodney Hood","SG","2016-2017"
"5644","LA Clippers",1403611,"Marreese Speights","F","2016-2017"
"5645","Golden State Warriors",1403611,"JaVale McGee","C","2016-2017"
"5646","Milwaukee Bucks",1403611,"Michael Beasley","SF","2016-2017"
"5647","Brooklyn Nets",1395600,"Rondae Hollis-Jefferson","SF","2016-2017"
"5648","Memphis Grizzlies",1369299,"Deyonta Davis","C","2016-2017"
"5649","Denver Nuggets",1358500,"Nikola Jokic","C","2016-2017"
"5650","Portland Trail Blazers",1350120,"Shabazz Napier","PG","2016-2017"
"5651","New York Knicks",1350000,"Willy Hernangomez","C","2016-2017"
"5652","New York Knicks",1350000,"Guillermo Hernangomez","C","2016-2017"
"5653","Minnesota Timberwolves",1339680,"Tyus Jones","PG","2016-2017"
"5654","Philadelphia 76ers",1333240,"Sasha Kaun","C","2016-2017"
"5655","Philadelphia 76ers",1326960,"Timothe Luwawu-Cabarrot","SG","2016-2017"
"5656","Houston Rockets",1296240,"Clint Capela","C","2016-2017"
"5657","Memphis Grizzlies",1286160,"Jarell Martin","PF","2016-2017"
"5658","LA Clippers",1273920,"Brice Johnson","PF","2016-2017"
"5659","Miami Heat",1227286,"Luke Babbitt","F","2016-2017"
"5660","Atlanta Hawks",1227286,"Jeremy Evans","F","2016-2017"
"5661","Boston Celtics",1223653,"Jordan Mickey","F","2016-2017"
"5662","Orlando Magic",1209600,"CJ Wilcox","G","2016-2017"
"5663","Los Angeles Lakers",1207680,"Larry Nance Jr.","PF","2016-2017"
"5664","Toronto Raptors",1196040,"Pascal Siakam","PF","2016-2017"
"5665","San Antonio Spurs",1192080,"Kyle Anderson","SF","2016-2017"
"5666","Oklahoma City Thunder",1191480,"Josh Huestis","F","2016-2017"
"5667","Washington Wizards",1191480,"Chris McCullough","F","2016-2017"
"5668","San Antonio Spurs",1188840,"Livio Jean-Charles","SF","2016-2017"
"5669","Sacramento Kings",1188840,"Skal Labissiere","PF","2016-2017"
"5670","Golden State Warriors",1182840,"Kevon Looney","SF","2016-2017"
"5671","San Antonio Spurs",1180080,"Dejounte Murray","PG","2016-2017"
"5672","Golden State Warriors",1171560,"Damian Jones","C","2016-2017"
"5673","Brooklyn Nets",1074145,"Isaiah Whitehead","G","2016-2017"
"5674","Indiana Pacers",1052342,"Joe Young","G","2016-2017"
"5675","Indiana Pacers",1052342,"Rakeem Christmas","PF","2016-2017"
"5676","Memphis Grizzlies",1050961,"Tony Wroten","SG","2016-2017"
"5677","Phoenix Suns",1050961,"John Jenkins","G","2016-2017"
"5678","Houston Rockets",1050961,"Chris Johnson","SG","2016-2017"
"5679","Indiana Pacers",1050500,"Glenn Robinson III","SG","2016-2017"
"5680","Houston Rockets",1045000,"Montrezl Harrell","PF","2016-2017"
"5681","Los Angeles Lakers",1034956,"Ivica Zubac","C","2016-2017"
"5682","Philadelphia 76ers",1025831,"Richaun Holmes","PF","2016-2017"
"5683","Dallas Mavericks",1015696,"DeAndre Liggins","G","2016-2017"
"5684","Toronto Raptors",1015696,"Lorenzo Brown","PG","2016-2017"
"5685","Atlanta Hawks",1015696,"Mike Muscala","PF","2016-2017"
"5686","Chicago Bulls",1015696,"Isaiah Canaan","PG","2016-2017"
"5687","Brooklyn Nets",1015696,"Anthony Bennett","PF","2016-2017"
"5688","Miami Heat",1015696,"Willie Reed","C","2016-2017"
"5689","New York Knicks",1015696,"Justin Holiday","SF","2016-2017"
"5690","Cleveland Cavaliers",1e+06,"Edy Tavares","C","2016-2017"
"5691","Philadelphia 76ers",980431,"Cory Jefferson","F","2016-2017"
"5692","Golden State Warriors",980431,"James Michael McAdoo","SF","2016-2017"
"5693","Toronto Raptors",980431,"Eric Moreland","C","2016-2017"
"5694","LA Clippers",980431,"Devyn Marble","SF","2016-2017"
"5695","Memphis Grizzlies",980431,"JaMychal Green","PF","2016-2017"
"5696","Charlotte Hornets",980431,"Brian Roberts","PG","2016-2017"
"5697","Oklahoma City Thunder",980431,"Jerami Grant","SF","2016-2017"
"5698","Utah Jazz",980431,"Henry Sims","C","2016-2017"
"5699","Utah Jazz",980431,"Nate Wolters","PG","2016-2017"
"5700","Sacramento Kings",980431,"Jordan Farmar","PG","2016-2017"
"5701","Atlanta Hawks",980431,"Will Bynum","PG","2016-2017"
"5702","Orlando Magic",950000,"Stephen Zimmerman","C","2016-2017"
"5703","Memphis Grizzlies",945000,"Andrew Harrison","G","2016-2017"
"5704","Utah Jazz",937800,"Raul Neto","PG","2016-2017"
"5705","Milwaukee Bucks",925000,"Malcolm Brogdon","PG","2016-2017"
"5706","Phoenix Suns",918369,"Tyler Ulis","G","2016-2017"
"5707","New Orleans Pelicans",895197,"Reggie Williams","SF","2016-2017"
"5708","Milwaukee Bucks",874636,"Xavier Munford","G","2016-2017"
"5709","Charlotte Hornets",874636,"Christian Wood","PF","2016-2017"
"5710","Philadelphia 76ers",874636,"T.J. McConnell","PG","2016-2017"
"5711","Cleveland Cavaliers",874636,"Jordan McRae","SG","2016-2017"
"5712","Toronto Raptors",874636,"Norman Powell","SF","2016-2017"
"5713","Memphis Grizzlies",874636,"DJ Stephens","SG","2016-2017"
"5714","Memphis Grizzlies",874636,"D.J. Kennedy","SG","2016-2017"
"5715","Detroit Pistons",874636,"Darrun Hilliard","G","2016-2017"
"5716","Phoenix Suns",874636,"Alan Williams","PF","2016-2017"
"5717","Portland Trail Blazers",874636,"Grant Jerrett","PF","2016-2017"
"5718","Sacramento Kings",874636,"Duje Dukan","PF","2016-2017"
"5719","New Orleans Pelicans",874636,"Cliff Alexander","PF","2016-2017"
"5720","Chicago Bulls",864346,"R.J. Hunter","G","2016-2017"
"5721","Chicago Bulls",750000,"Paul Zipser","F","2016-2017"
"5722","Brooklyn Nets",726672,"Spencer Dinwiddie","PG","2016-2017"
"5723","Houston Rockets",680534,"Bobby Brown","PG","2016-2017"
"5724","Dallas Mavericks",650000,"AJ Hammons","C","2016-2017"
"5725","Indiana Pacers",650000,"Georges Niang","SF","2016-2017"
"5726","Detroit Pistons",650000,"Michael Gbinije","SG","2016-2017"
"5727","Portland Trail Blazers",6e+05,"Jake Layman","SF","2016-2017"
"5728","Utah Jazz",6e+05,"Joel Bolomboy","PF","2016-2017"
"5729","New Orleans Pelicans",576724,"Donatas Motiejunas","PF","2016-2017"
"5730","Toronto Raptors",543471,"E.J. Singler","SF","2016-2017"
"5731","Toronto Raptors",543471,"Drew Crawford","SG","2016-2017"
"5732","Cleveland Cavaliers",543471,"Kay Felder","G","2016-2017"
"5733","Toronto Raptors",543471,"Fred VanVleet","PG","2016-2017"
"5734","Toronto Raptors",543471,"Yanick Moreira","C","2016-2017"
"5735","Houston Rockets",543471,"Kyle Wiltjer","F","2016-2017"
"5736","Toronto Raptors",543471,"Kyle Collinsworth","G","2016-2017"
"5737","Toronto Raptors",543471,"Brady Heslip","SG","2016-2017"
"5738","Memphis Grizzlies",543471,"Vince Hunter","SF","2016-2017"
"5739","Charlotte Hornets",543471,"Andrew Andrews","G","2016-2017"
"5740","Charlotte Hornets",543471,"Marcus Paige","G","2016-2017"
"5741","Charlotte Hornets",543471,"Rasheed Sulaimon","G","2016-2017"
"5742","Utah Jazz",543471,"Isaiah Cousins","G","2016-2017"
"5743","New Orleans Pelicans",543471,"Quincy Ford","SG","2016-2017"
"5744","Indiana Pacers",543471,"Nick Zeisloft","SG","2016-2017"
"5745","Dallas Mavericks",543471,"Nicolas Brussino","SF","2016-2017"
"5746","Boston Celtics",543471,"Jonathan Holmes","PF","2016-2017"
"5747","Washington Wizards",543471,"Sheldon Mac","SG","2016-2017"
"5748","Dallas Mavericks",469943,"Jonathan Gibson","G","2016-2017"
"5749","Memphis Grizzlies",379159,"Toney Douglas","PG","2016-2017"
"5750","San Antonio Spurs",346034,"Joel Anthony","PF","2016-2017"
"5751","Atlanta Hawks",286785,"Ryan Kelly","PF","2016-2017"
"5752","Phoenix Suns",276828,"Ronnie Price","PG","2016-2017"
"5753","Dallas Mavericks",259526,"Deron Williams","PG","2016-2017"
"5754","Houston Rockets",255000,"Isaiah Taylor","G","2016-2017"
"5755","Oklahoma City Thunder",247991,"Norris Cole","PG","2016-2017"
"5756","Los Angeles Lakers",247991,"Jose Calderon","PG","2016-2017"
"5757","Atlanta Hawks",246956,"Lamar Patterson","SG","2016-2017"
"5758","Dallas Mavericks",242224,"Andrew Bogut","C","2016-2017"
"5759","Sacramento Kings",242224,"Matt Barnes","SF","2016-2017"
"5760","Miami Heat",210995,"Okaro White","F","2016-2017"
"5761","Brooklyn Nets",207798,"Yogi Ferrell","PG","2016-2017"
"5762","Cleveland Cavaliers",207722,"Larry Sanders","PF","2016-2017"
"5763","New Orleans Pelicans",173099,"Jordan Crawford","G","2016-2017"
"5764","Charlotte Hornets",161483,"Johnny O'Bryant III","PF","2016-2017"
"5765","Philadelphia 76ers",143860,"Chasson Randle","PG","2016-2017"
"5766","Sacramento Kings",138414,"Omri Casspi","SF","2016-2017"
"5767","Charlotte Hornets",128623,"Briante Weber","G","2016-2017"
"5768","Charlotte Hornets",121112,"Ray McCallum","PG","2016-2017"
"5769","Philadelphia 76ers",115344,"Hollis Thompson","SF","2016-2017"
"5770","Miami Heat",115344,"Derrick Williams","PF","2016-2017"
"5771","Dallas Mavericks",115344,"Manny Harris","PG","2016-2017"
"5772","Philadelphia 76ers",89513,"Shawn Long","F","2016-2017"
"5773","Memphis Grizzlies",83119,"Wayne Selden","SG","2016-2017"
"5774","Memphis Grizzlies",76725,"Troy Williams","SF","2016-2017"
"5775","Brooklyn Nets",75000,"Archie Goodwin","SG","2016-2017"
"5776","Los Angeles Lakers",73528,"David Nwaba","SG","2016-2017"
"5777","Charlotte Hornets",67135,"Mike Tobey","C","2016-2017"
"5778","Philadelphia 76ers",57672,"Justin Harper","PF","2016-2017"
"5779","Orlando Magic",57672,"Anthony Brown","F","2016-2017"
"5780","Phoenix Suns",57672,"Jarell Eddie","F","2016-2017"
"5781","Denver Nuggets",57672,"Alonzo Gee","SF","2016-2017"
"5782","New Orleans Pelicans",57672,"Jarrett Jack","G","2016-2017"
"5783","Dallas Mavericks",47953,"Jarrod Uthoff","SF","2016-2017"
"5784","Philadelphia 76ers",35166,"Alex Poythress","SF","2016-2017"
"5785","Milwaukee Bucks",35116,"Gary Payton II","G","2016-2017"
